ID,0,1,2,3,4,5,6,7
Time,2026-Mar-03 17:00:44,2026-Mar-03 17:00:53,2026-Mar-03 17:01:03,2026-Mar-03 17:01:12,2026-Mar-03 17:01:55,2026-Mar-03 17:02:22,2026-Mar-03 17:02:49,2026-Mar-03 17:03:16
API Call ID,27501,27522,27532,27553,300897,300918,300928,300949
Estimated Speedup [%],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Runtime Improvement [us],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Issues Detected [issue],0,0,0,0,0,0,0,0
Function Name,vectorized_layer_norm_kernel,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,vectorized_elementwise_kernel,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,vectorized_layer_norm_kernel,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_64x3_tn,vectorized_elementwise_kernel,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_64x3_tn
Mangled Name,_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIN3c108BFloat16EfLb0EEEviT0_PKT_S8_S8_PS5_S9_PS6_,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_18GeluCUDAKernelImplERNS_18TensorIteratorBaseENS0_8GeluTypeEENKUlvE0_clEvENKUlvE2_clEvEUlN3c108BFloat16EE_St5arrayIPcLm2EEEEviT0_T1_,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIN3c108BFloat16EfLb0EEEviT0_PKT_S8_S8_PS5_S9_PS6_,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_64x3_tn,_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_18GeluCUDAKernelImplERNS_18TensorIteratorBaseENS0_8GeluTypeEENKUlvE0_clEvENKUlvE2_clEvEUlN3c108BFloat16EE_St5arrayIPcLm2EEEEviT0_T1_,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_64x3_tn
Demangled Name,..vectorized_layer_norm_kernel..,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,..vectorized_elementwise_kernel..,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,..vectorized_layer_norm_kernel..,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_64x3_tn,..vectorized_elementwise_kernel..,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_64x3_tn
Original Demangled Name,"void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float, (bool)0>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)",ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::native::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,"void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float, (bool)0>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)",ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_64x3_tn,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::native::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_64x3_tn
Process,[137911] python3.10,[137911] python3.10,[137911] python3.10,[137911] python3.10,[137911] python3.10,[137911] python3.10,[137911] python3.10,[137911] python3.10
Thread ID [thread],137911,137911,137911,137911,137911,137911,137911,137911
Device Name,NVIDIA A100-PCIE-40GB,NVIDIA A100-PCIE-40GB,NVIDIA A100-PCIE-40GB,NVIDIA A100-PCIE-40GB,NVIDIA A100-PCIE-40GB,NVIDIA A100-PCIE-40GB,NVIDIA A100-PCIE-40GB,NVIDIA A100-PCIE-40GB
CUprogram,0x5652822de430,0x565274861e20,0x56528371b650,0x565274861e20,0x5652822de430,0x565274861e20,0x56528371b650,0x565274861e20
