ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],# Registers [register/thread],Grid Size,Block Size [block],Result Type
0,0.00,elementwise_kernel,..direct_copy_kernel_cuda..,77.79,0.00,16,"15288,    1,    1","  128,    1,    1",Kernel: SIMT
1,0.00,Kernel2,..cutlass_80_tensorop_bf16_s16816gemm_bf16_256x128_64x3_tn_align2..,278.56,0.00,232,"  416,    1,    1","  256,    1,    1",Kernel: SIMT
2,0.00,CatArrayBatchedCopy,..CatArrayBatchedCopy..,173.41,0.00,30,"  216,    2,    1","  512,    1,    1",Kernel: SIMT
3,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,98.02,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
4,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.48,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
5,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.07,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
6,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.28,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
7,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,780.38,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
8,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,218.91,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
9,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.77,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
10,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,59.20,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
11,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.77,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
12,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,817.89,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
13,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.46,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
14,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,764.86,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
15,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.80,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
16,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,59.14,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
17,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.86,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
18,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.14,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
19,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.25,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
20,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,781.54,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
21,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,218.62,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
22,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.64,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
23,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,59.14,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
24,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.80,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
25,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,816.86,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
26,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.55,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
27,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,764.10,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
28,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.99,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
29,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.94,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
30,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.51,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
31,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.42,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
32,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.25,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
33,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,780.83,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
34,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,218.82,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
35,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.70,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
36,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.53,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
37,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.58,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
38,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,817.22,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
39,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.04,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
40,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,764.80,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
41,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.83,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
42,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.82,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
43,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.67,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
44,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,618.94,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
45,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.25,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
46,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,781.22,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
47,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,218.40,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
48,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.77,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
49,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.78,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
50,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.86,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
51,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,817.95,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
52,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,198.72,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
53,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,764.67,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
54,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.86,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
55,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.91,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
56,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.70,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
57,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.20,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
58,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.34,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
59,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,781.31,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
60,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,219.36,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
61,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.64,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
62,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.85,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
63,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.42,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
64,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,818.21,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
65,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.49,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
66,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,764.61,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
67,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,97.02,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
68,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.40,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
69,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.61,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
70,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,618.82,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
71,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.25,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
72,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,780.70,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
73,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,218.91,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
74,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,97.02,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
75,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,60.29,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
76,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.35,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
77,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,818.11,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
